第8屆區域立法委員選舉臺北市第5選舉區候選人在各投開票所得票數一覽表,,,,,,,,,,,,,,,,,
鄉(鎮、市、區)別,村里別,投票所別,各候選人得票情形,,,,,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","發票率H
H=C÷G"
,,,"1
陳彥甫
健保免費連線","2
楊煌
無黨籍及未經政黨推薦","3
劉美娟
中華民國臺灣基本法連線","4
顏聖冠
民主進步黨","5
葉玫
台灣國民會議","6
周志文
人民民主陣線","7
林郁方
中國國民黨",,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
　　,幸福里,893,8,5,2,388,3,2,422,830,9,839,0,839,299,"1,138",73.73
　　,幸市里,894,4,4,2,451,4,4,497,966,13,979,0,979,339,"1,318",74.28
　　,幸市里,895,6,3,4,361,5,2,536,917,12,929,0,929,305,"1,234",75.28
　　,幸市里,896,3,9,1,374,2,1,548,938,11,949,0,949,236,"1,185",80.08
　　,東門里,897,6,5,1,320,3,5,583,923,19,942,0,942,260,"1,202",78.37
　　,東門里,898,8,1,0,224,4,1,556,794,10,804,0,804,234,"1,038",77.46
　　,東門里,899,2,1,6,308,7,3,517,844,18,862,0,862,289,"1,151",74.89
　　,文北里,900,8,3,2,390,6,3,690,"1,102",21,"1,123",0,"1,123",348,"1,471",76.34
　　,文北里,901,5,3,4,464,7,1,644,"1,128",23,"1,151",0,"1,151",406,"1,557",73.92
　　,文北里,902,9,4,5,402,14,1,615,"1,050",19,"1,069",0,"1,069",359,"1,428",74.86
　　,文祥里,903,5,4,3,416,7,6,675,"1,116",18,"1,134",0,"1,134",360,"1,494",75.90
　　,文祥里,904,5,0,4,442,9,1,699,"1,160",19,"1,179",0,"1,179",298,"1,477",79.82
　　,文祥里,905,7,3,2,428,9,2,741,"1,192",21,"1,213",0,"1,213",368,"1,581",76.72
　　,文祥里,906,6,8,3,443,6,3,658,"1,127",22,"1,149",0,"1,149",346,"1,495",76.86
　　,三愛里,907,6,2,4,357,6,1,573,949,21,970,0,970,309,"1,279",75.84
　　,三愛里,908,7,9,4,440,8,7,655,"1,130",22,"1,152",0,"1,152",379,"1,531",75.24
　　,三愛里,909,7,4,2,423,12,3,626,"1,077",20,"1,097",0,"1,097",353,"1,450",75.66
　　,三愛里,910,3,1,0,352,8,2,534,900,16,916,0,916,260,"1,176",77.89
　　,三愛里,911,10,9,0,341,8,2,550,920,16,936,0,936,292,"1,228",76.22
