第8屆區域立法委員選舉臺北市第6選舉區候選人在各投開票所得票數一覽表,,,,,,,,,,,,,,,,,,,
鄉(鎮、市、區)別,村里別,投票所別,各候選人得票情形,,,,,,,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","發票率H
H=C÷G"
,,,"1
葉邦宗
無黨籍及未經政黨推薦","2
周佩民
台灣主義黨","3
陳振盛
親民黨","4
趙衍慶
無黨籍及未經政黨推薦","5
王雲怡
台灣國民會議","6
陳福民
無黨籍及未經政黨推薦","7
趙士強
民主進步黨","8
蔣乃辛
中國國民黨","9
王秀珠
人民最大黨",,,,,,,,
,,,,,,,,,,,,,,,,,,,
　　,華聲里,"1,063",4,3,57,0,8,2,290,480,7,851,25,876,0,876,249,"1,125",77.87
　　,華聲里,"1,064",0,3,70,0,15,15,222,564,3,892,9,901,0,901,377,"1,278",70.50
　　,華聲里,"1,065",5,1,56,0,8,13,299,532,7,921,13,934,0,934,268,"1,202",77.70
　　,車層里,"1,066",0,3,59,2,10,20,360,490,3,947,20,967,0,967,316,"1,283",75.37
　　,車層里,"1,067",2,2,53,1,8,23,347,583,0,"1,019",15,"1,034",0,"1,034",406,"1,440",71.81
　　,車層里,"1,068",2,1,78,0,15,18,323,575,4,"1,016",20,"1,036",0,"1,036",332,"1,368",75.73
　　,車層里,"1,069",2,1,58,1,8,17,321,496,4,908,12,920,0,920,328,"1,248",73.72
　　,光信里,"1,070",0,7,74,2,14,7,391,720,8,"1,223",16,"1,239",0,"1,239",399,"1,638",75.64
　　,光信里,"1,071",1,4,85,0,21,16,439,788,4,"1,358",25,"1,383",0,"1,383",384,"1,767",78.27
　　,光信里,"1,072",1,4,62,1,16,17,359,607,2,"1,069",18,"1,087",0,"1,087",342,"1,429",76.07
　　,光信里,"1,073",2,1,85,0,15,16,323,661,7,"1,110",17,"1,127",0,"1,127",402,"1,529",73.71
　　,學府里,"1,074",0,2,34,1,9,3,126,478,4,657,13,670,0,670,217,887,75.54
　　,學府里,"1,075",1,5,21,0,7,2,133,276,3,448,20,468,0,468,178,646,72.45
　　,學府里,"1,076",2,4,53,0,10,8,240,464,4,785,26,811,0,811,286,"1,097",73.93
